,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,cannibalism_threshold,wolf_gain_from_cannibalism,Wolves,Sheep,Grass,Cannibalism Occurrences,Steps till Wolf Extinction
64,64,64,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,89
65,65,65,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,90
66,66,66,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,91
67,67,67,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,81
68,68,68,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,98
69,69,69,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,111
70,70,70,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,64522,0,0,93
71,71,71,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,82
72,72,72,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,73
73,73,73,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,86
74,74,74,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,99,0,0,89
75,75,75,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,168,0,0,78
76,76,76,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,10869,0,0,114
77,77,77,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,117
78,78,78,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,89
79,79,79,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,70,0,0,0,300
80,80,80,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,28616,0,0,89
81,81,81,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,97
82,82,82,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,100
83,83,83,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,109
84,84,84,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,69
85,85,85,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,2320,0,0,80
86,86,86,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,88
87,87,87,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,90
88,88,88,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,98
89,89,89,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,12401,0,0,110
90,90,90,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,2208,0,0,87
91,91,91,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,95
92,92,92,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,17,0,0,0,300
93,93,93,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,78
94,94,94,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,84
95,95,95,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,12840,0,0,100
96,96,96,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,82
97,97,97,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,79530,0,0,97
98,98,98,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,88
99,99,99,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,80
