SO;Rank;Freq;cumFreq;Zone
PHYSICAL CHEMISTRY CHEMICAL PHYSICS;343;3;2729;Zone 3
PHYSIOLOGY & BEHAVIOR;344;3;2732;Zone 3
POLYMER DEGRADATION AND STABILITY;345;3;2735;Zone 3
POLYMER INTERNATIONAL;346;3;2738;Zone 3
POLYMER TESTING;347;3;2741;Zone 3
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY;348;3;2744;Zone 3
PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;349;3;2747;Zone 3
PROCESSES;350;3;2750;Zone 3
RELIGION BRAIN & BEHAVIOR;351;3;2753;Zone 3
SCIENCE CHINA-TECHNOLOGICAL SCIENCES;352;3;2756;Zone 3
SCIENTOMETRICS;353;3;2759;Zone 3
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS;354;3;2762;Zone 3
SOFT MATTER;355;3;2765;Zone 3
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE;356;3;2768;Zone 3
TALANTA;357;3;2771;Zone 3
TOPICS IN COGNITIVE SCIENCE;358;3;2774;Zone 3
TRANSACTIONS IN GIS;359;3;2777;Zone 3
TRANSPLANTATION;360;3;2780;Zone 3
TRIALS;361;3;2783;Zone 3
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY;362;3;2786;Zone 3
WATER RESOURCES MANAGEMENT;363;3;2789;Zone 3
WATER RESOURCES RESEARCH;364;3;2792;Zone 3
ACS APPLIED MATERIALS & INTERFACES;365;2;2794;Zone 3
ACS NANO;366;2;2796;Zone 3
ACS OMEGA;367;2;2798;Zone 3
ACTA ANAESTHESIOLOGICA SCANDINAVICA;368;2;2800;Zone 3
ACTIVITES-REVUE ELECTRONIQUE;369;2;2802;Zone 3
ADVANCED ENGINEERING INFORMATICS;370;2;2804;Zone 3
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;371;2;2806;Zone 3
AIP ADVANCES;372;2;2808;Zone 3
AMERICAN HEART JOURNAL;373;2;2810;Zone 3
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY;374;2;2812;Zone 3
AMERICAN JOURNAL OF KIDNEY DISEASES;375;2;2814;Zone 3
AMERICAN JOURNAL OF PREVENTIVE MEDICINE;376;2;2816;Zone 3
AMERICAN JOURNAL OF PUBLIC HEALTH;377;2;2818;Zone 3
ANALYTICAL CHEMISTRY;378;2;2820;Zone 3
