"Words","Occurrences"
"model","7186"
"agents","5023"
"results","4613"
"study","3002"
"agent","2897"
"simulation","2823"
"experimental","2719"
"behavior","2708"
"social","2376"
"data","2370"
"system","2307"
"simulations","2129"
"models","2128"
"based","2111"
"control","2068"
"paper","1897"
"time","1888"
"analysis","1759"
"systems","1739"
"dynamics","1670"
