,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,mortality_chance,Infected,Susceptible,Resistant,Dead,Alive,CMR
0,0,0,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,17,12,21,29,0.42
1,1,0,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,11,7,32,18,0.64
2,2,0,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,27,4,19,31,0.38
3,3,0,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,22,0,28,22,0.56
4,4,0,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,37,2,11,39,0.22
5,5,0,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,45,0,5,45,0.1
6,6,0,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,45,0,5,45,0.1
7,7,0,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,45,0,5,45,0.1
8,8,0,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
9,9,0,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
10,10,1,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,9,13,28,22,0.56
11,11,1,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,22,5,23,27,0.46
12,12,1,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,19,1,30,20,0.6
13,13,1,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,21,1,28,22,0.56
14,14,1,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,35,0,15,35,0.3
15,15,1,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,44,0,6,44,0.12
16,16,1,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,45,0,5,45,0.1
17,17,1,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,45,0,5,45,0.1
18,18,1,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
19,19,1,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
20,20,2,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,14,8,28,22,0.56
21,21,2,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,6,7,37,13,0.74
22,22,2,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,21,3,26,24,0.52
23,23,2,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,27,2,21,29,0.42
24,24,2,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,40,0,10,40,0.2
25,25,2,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,44,0,6,44,0.12
26,26,2,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,43,1,6,44,0.12
27,27,2,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,39,0,11,39,0.22
28,28,2,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,43,0,7,43,0.14
29,29,2,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
