,RunId,iteration,Step,defect_multiplier,width,height,schedule_type,payoffs,seed,Cooperating,Defecting
0,0,0,100,15,50,50,Random,,,2492,8
1,1,0,100,16,50,50,Random,,,2478,22
2,2,0,100,17,50,50,Random,,,2432,68
3,3,0,100,18,50,50,Random,,,0,2500
4,4,0,100,19,50,50,Random,,,0,2500
5,5,0,100,20,50,50,Random,,,1600,900
6,6,0,100,21,50,50,Random,,,0,2500
7,7,0,100,22,50,50,Random,,,0,2500
8,8,0,100,23,50,50,Random,,,0,2500
9,9,0,100,24,50,50,Random,,,0,2500
10,10,1,100,15,50,50,Random,,,2500,0
11,11,1,100,16,50,50,Random,,,2466,34
12,12,1,100,17,50,50,Random,,,2444,56
13,13,1,100,18,50,50,Random,,,0,2500
14,14,1,100,19,50,50,Random,,,1483,1017
15,15,1,100,20,50,50,Random,,,0,2500
16,16,1,100,21,50,50,Random,,,0,2500
17,17,1,100,22,50,50,Random,,,0,2500
18,18,1,100,23,50,50,Random,,,0,2500
19,19,1,100,24,50,50,Random,,,0,2500
20,20,2,100,15,50,50,Random,,,2482,18
21,21,2,100,16,50,50,Random,,,2500,0
22,22,2,100,17,50,50,Random,,,2461,39
23,23,2,100,18,50,50,Random,,,0,2500
24,24,2,100,19,50,50,Random,,,0,2500
25,25,2,100,20,50,50,Random,,,0,2500
26,26,2,100,21,50,50,Random,,,0,2500
27,27,2,100,22,50,50,Random,,,0,2500
28,28,2,100,23,50,50,Random,,,0,2500
29,29,2,100,24,50,50,Random,,,0,2500
30,30,3,100,15,50,50,Random,,,2500,0
31,31,3,100,16,50,50,Random,,,2480,20
32,32,3,100,17,50,50,Random,,,2422,78
33,33,3,100,18,50,50,Random,,,0,2500
34,34,3,100,19,50,50,Random,,,0,2500
35,35,3,100,20,50,50,Random,,,0,2500
36,36,3,100,21,50,50,Random,,,0,2500
37,37,3,100,22,50,50,Random,,,0,2500
38,38,3,100,23,50,50,Random,,,0,2500
39,39,3,100,24,50,50,Random,,,0,2500
40,40,4,100,15,50,50,Random,,,2496,4
41,41,4,100,16,50,50,Random,,,2461,39
42,42,4,100,17,50,50,Random,,,2339,161
43,43,4,100,18,50,50,Random,,,2199,301
44,44,4,100,19,50,50,Random,,,0,2500
45,45,4,100,20,50,50,Random,,,0,2500
46,46,4,100,21,50,50,Random,,,0,2500
47,47,4,100,22,50,50,Random,,,9,2491
48,48,4,100,23,50,50,Random,,,0,2500
49,49,4,100,24,50,50,Random,,,0,2500
50,50,5,100,15,50,50,Random,,,2500,0
51,51,5,100,16,50,50,Random,,,2443,57
52,52,5,100,17,50,50,Random,,,2393,107
53,53,5,100,18,50,50,Random,,,2241,259
54,54,5,100,19,50,50,Random,,,0,2500
55,55,5,100,20,50,50,Random,,,0,2500
56,56,5,100,21,50,50,Random,,,0,2500
57,57,5,100,22,50,50,Random,,,0,2500
58,58,5,100,23,50,50,Random,,,0,2500
59,59,5,100,24,50,50,Random,,,0,2500
60,60,6,100,15,50,50,Random,,,2500,0
61,61,6,100,16,50,50,Random,,,2455,45
62,62,6,100,17,50,50,Random,,,2463,37
63,63,6,100,18,50,50,Random,,,0,2500
64,64,6,100,19,50,50,Random,,,2087,413
65,65,6,100,20,50,50,Random,,,0,2500
66,66,6,100,21,50,50,Random,,,0,2500
67,67,6,100,22,50,50,Random,,,0,2500
68,68,6,100,23,50,50,Random,,,0,2500
69,69,6,100,24,50,50,Random,,,0,2500
70,70,7,100,15,50,50,Random,,,2491,9
71,71,7,100,16,50,50,Random,,,2461,39
72,72,7,100,17,50,50,Random,,,2395,105
73,73,7,100,18,50,50,Random,,,2188,312
74,74,7,100,19,50,50,Random,,,2105,395
75,75,7,100,20,50,50,Random,,,0,2500
76,76,7,100,21,50,50,Random,,,0,2500
77,77,7,100,22,50,50,Random,,,0,2500
78,78,7,100,23,50,50,Random,,,0,2500
79,79,7,100,24,50,50,Random,,,0,2500
80,80,8,100,15,50,50,Random,,,2473,27
81,81,8,100,16,50,50,Random,,,2483,17
82,82,8,100,17,50,50,Random,,,2376,124
83,83,8,100,18,50,50,Random,,,2344,156
84,84,8,100,19,50,50,Random,,,0,2500
85,85,8,100,20,50,50,Random,,,0,2500
86,86,8,100,21,50,50,Random,,,0,2500
87,87,8,100,22,50,50,Random,,,0,2500
88,88,8,100,23,50,50,Random,,,0,2500
89,89,8,100,24,50,50,Random,,,0,2500
90,90,9,100,15,50,50,Random,,,2491,9
91,91,9,100,16,50,50,Random,,,2500,0
92,92,9,100,17,50,50,Random,,,2346,154
93,93,9,100,18,50,50,Random,,,2305,195
94,94,9,100,19,50,50,Random,,,9,2491
95,95,9,100,20,50,50,Random,,,0,2500
96,96,9,100,21,50,50,Random,,,0,2500
97,97,9,100,22,50,50,Random,,,0,2500
98,98,9,100,23,50,50,Random,,,0,2500
99,99,9,100,24,50,50,Random,,,0,2500
