,RunId,iteration,Step,defect_multiplier,width,height,schedule_type,payoffs,seed,Cooperating,Defecting
114,114,5,100,14,50,50,Random,,,0,2500
115,115,5,100,15,50,50,Random,,,0,2500
116,116,5,100,16,50,50,Random,,,0,2500
117,117,5,100,17,50,50,Random,,,0,2500
118,118,5,100,18,50,50,Random,,,0,2500
119,119,5,100,19,50,50,Random,,,0,2500
120,120,6,100,0,50,50,Random,,,2466,34
121,121,6,100,1,50,50,Random,,,2367,133
122,122,6,100,2,50,50,Random,,,0,2500
123,123,6,100,3,50,50,Random,,,0,2500
124,124,6,100,4,50,50,Random,,,0,2500
125,125,6,100,5,50,50,Random,,,0,2500
126,126,6,100,6,50,50,Random,,,0,2500
127,127,6,100,7,50,50,Random,,,0,2500
128,128,6,100,8,50,50,Random,,,0,2500
129,129,6,100,9,50,50,Random,,,0,2500
130,130,6,100,10,50,50,Random,,,0,2500
131,131,6,100,11,50,50,Random,,,0,2500
132,132,6,100,12,50,50,Random,,,0,2500
133,133,6,100,13,50,50,Random,,,0,2500
134,134,6,100,14,50,50,Random,,,0,2500
135,135,6,100,15,50,50,Random,,,0,2500
136,136,6,100,16,50,50,Random,,,0,2500
137,137,6,100,17,50,50,Random,,,0,2500
138,138,6,100,18,50,50,Random,,,0,2500
139,139,6,100,19,50,50,Random,,,0,2500
140,140,7,100,0,50,50,Random,,,2469,31
141,141,7,100,1,50,50,Random,,,0,2500
142,142,7,100,2,50,50,Random,,,0,2500
143,143,7,100,3,50,50,Random,,,0,2500
144,144,7,100,4,50,50,Random,,,0,2500
145,145,7,100,5,50,50,Random,,,0,2500
146,146,7,100,6,50,50,Random,,,0,2500
147,147,7,100,7,50,50,Random,,,0,2500
148,148,7,100,8,50,50,Random,,,0,2500
149,149,7,100,9,50,50,Random,,,0,2500
150,150,7,100,10,50,50,Random,,,0,2500
151,151,7,100,11,50,50,Random,,,0,2500
152,152,7,100,12,50,50,Random,,,0,2500
153,153,7,100,13,50,50,Random,,,0,2500
154,154,7,100,14,50,50,Random,,,0,2500
155,155,7,100,15,50,50,Random,,,0,2500
156,156,7,100,16,50,50,Random,,,0,2500
157,157,7,100,17,50,50,Random,,,0,2500
158,158,7,100,18,50,50,Random,,,0,2500
159,159,7,100,19,50,50,Random,,,0,2500
160,160,8,100,0,50,50,Random,,,2474,26
161,161,8,100,1,50,50,Random,,,2380,120
162,162,8,100,2,50,50,Random,,,0,2500
163,163,8,100,3,50,50,Random,,,1355,1145
164,164,8,100,4,50,50,Random,,,0,2500
165,165,8,100,5,50,50,Random,,,0,2500
166,166,8,100,6,50,50,Random,,,0,2500
167,167,8,100,7,50,50,Random,,,0,2500
168,168,8,100,8,50,50,Random,,,0,2500
169,169,8,100,9,50,50,Random,,,0,2500
170,170,8,100,10,50,50,Random,,,0,2500
171,171,8,100,11,50,50,Random,,,0,2500
172,172,8,100,12,50,50,Random,,,0,2500
173,173,8,100,13,50,50,Random,,,0,2500
174,174,8,100,14,50,50,Random,,,0,2500
175,175,8,100,15,50,50,Random,,,0,2500
176,176,8,100,16,50,50,Random,,,0,2500
177,177,8,100,17,50,50,Random,,,0,2500
178,178,8,100,18,50,50,Random,,,0,2500
179,179,8,100,19,50,50,Random,,,0,2500
180,180,9,100,0,50,50,Random,,,2471,29
181,181,9,100,1,50,50,Random,,,0,2500
182,182,9,100,2,50,50,Random,,,2100,400
183,183,9,100,3,50,50,Random,,,0,2500
184,184,9,100,4,50,50,Random,,,0,2500
185,185,9,100,5,50,50,Random,,,0,2500
186,186,9,100,6,50,50,Random,,,0,2500
187,187,9,100,7,50,50,Random,,,0,2500
188,188,9,100,8,50,50,Random,,,0,2500
189,189,9,100,9,50,50,Random,,,0,2500
190,190,9,100,10,50,50,Random,,,0,2500
191,191,9,100,11,50,50,Random,,,0,2500
192,192,9,100,12,50,50,Random,,,0,2500
193,193,9,100,13,50,50,Random,,,0,2500
194,194,9,100,14,50,50,Random,,,0,2500
195,195,9,100,15,50,50,Random,,,0,2500
196,196,9,100,16,50,50,Random,,,0,2500
197,197,9,100,17,50,50,Random,,,0,2500
198,198,9,100,18,50,50,Random,,,0,2500
199,199,9,100,19,50,50,Random,,,0,2500
200,200,10,100,0,50,50,Random,,,2457,43
201,201,10,100,1,50,50,Random,,,2383,117
202,202,10,100,2,50,50,Random,,,0,2500
203,203,10,100,3,50,50,Random,,,0,2500
204,204,10,100,4,50,50,Random,,,0,2500
205,205,10,100,5,50,50,Random,,,0,2500
206,206,10,100,6,50,50,Random,,,0,2500
207,207,10,100,7,50,50,Random,,,0,2500
208,208,10,100,8,50,50,Random,,,0,2500
209,209,10,100,9,50,50,Random,,,0,2500
210,210,10,100,10,50,50,Random,,,0,2500
211,211,10,100,11,50,50,Random,,,0,2500
212,212,10,100,12,50,50,Random,,,0,2500
213,213,10,100,13,50,50,Random,,,0,2500
214,214,10,100,14,50,50,Random,,,0,2500
215,215,10,100,15,50,50,Random,,,0,2500
216,216,10,100,16,50,50,Random,,,0,2500
217,217,10,100,17,50,50,Random,,,0,2500
218,218,10,100,18,50,50,Random,,,0,2500
219,219,10,100,19,50,50,Random,,,0,2500
220,220,11,100,0,50,50,Random,,,2496,4
221,221,11,100,1,50,50,Random,,,0,2500
222,222,11,100,2,50,50,Random,,,1896,604
223,223,11,100,3,50,50,Random,,,0,2500
224,224,11,100,4,50,50,Random,,,0,2500
225,225,11,100,5,50,50,Random,,,0,2500
226,226,11,100,6,50,50,Random,,,0,2500
227,227,11,100,7,50,50,Random,,,0,2500
228,228,11,100,8,50,50,Random,,,0,2500
229,229,11,100,9,50,50,Random,,,0,2500
230,230,11,100,10,50,50,Random,,,0,2500
231,231,11,100,11,50,50,Random,,,0,2500
232,232,11,100,12,50,50,Random,,,0,2500
233,233,11,100,13,50,50,Random,,,0,2500
234,234,11,100,14,50,50,Random,,,0,2500
235,235,11,100,15,50,50,Random,,,0,2500
236,236,11,100,16,50,50,Random,,,0,2500
237,237,11,100,17,50,50,Random,,,0,2500
238,238,11,100,18,50,50,Random,,,0,2500
239,239,11,100,19,50,50,Random,,,0,2500
240,240,12,100,0,50,50,Random,,,2469,31
241,241,12,100,1,50,50,Random,,,2369,131
242,242,12,100,2,50,50,Random,,,1933,567
243,243,12,100,3,50,50,Random,,,0,2500
244,244,12,100,4,50,50,Random,,,0,2500
245,245,12,100,5,50,50,Random,,,0,2500
246,246,12,100,6,50,50,Random,,,0,2500
247,247,12,100,7,50,50,Random,,,0,2500
248,248,12,100,8,50,50,Random,,,0,2500
249,249,12,100,9,50,50,Random,,,0,2500
250,250,12,100,10,50,50,Random,,,0,2500
251,251,12,100,11,50,50,Random,,,0,2500
252,252,12,100,12,50,50,Random,,,0,2500
253,253,12,100,13,50,50,Random,,,0,2500
254,254,12,100,14,50,50,Random,,,0,2500
255,255,12,100,15,50,50,Random,,,0,2500
256,256,12,100,16,50,50,Random,,,0,2500
257,257,12,100,17,50,50,Random,,,0,2500
258,258,12,100,18,50,50,Random,,,0,2500
259,259,12,100,19,50,50,Random,,,0,2500
260,260,13,100,0,50,50,Random,,,2450,50
261,261,13,100,1,50,50,Random,,,2417,83
262,262,13,100,2,50,50,Random,,,0,2500
263,263,13,100,3,50,50,Random,,,0,2500
264,264,13,100,4,50,50,Random,,,0,2500
265,265,13,100,5,50,50,Random,,,0,2500
266,266,13,100,6,50,50,Random,,,0,2500
267,267,13,100,7,50,50,Random,,,0,2500
268,268,13,100,8,50,50,Random,,,0,2500
269,269,13,100,9,50,50,Random,,,0,2500
270,270,13,100,10,50,50,Random,,,0,2500
271,271,13,100,11,50,50,Random,,,0,2500
272,272,13,100,12,50,50,Random,,,0,2500
273,273,13,100,13,50,50,Random,,,0,2500
274,274,13,100,14,50,50,Random,,,0,2500
275,275,13,100,15,50,50,Random,,,0,2500
276,276,13,100,16,50,50,Random,,,0,2500
277,277,13,100,17,50,50,Random,,,0,2500
278,278,13,100,18,50,50,Random,,,0,2500
279,279,13,100,19,50,50,Random,,,0,2500
280,280,14,100,0,50,50,Random,,,2474,26
281,281,14,100,1,50,50,Random,,,0,2500
282,282,14,100,2,50,50,Random,,,1976,524
283,283,14,100,3,50,50,Random,,,0,2500
284,284,14,100,4,50,50,Random,,,0,2500
285,285,14,100,5,50,50,Random,,,0,2500
286,286,14,100,6,50,50,Random,,,0,2500
287,287,14,100,7,50,50,Random,,,0,2500
288,288,14,100,8,50,50,Random,,,0,2500
289,289,14,100,9,50,50,Random,,,0,2500
290,290,14,100,10,50,50,Random,,,0,2500
291,291,14,100,11,50,50,Random,,,0,2500
292,292,14,100,12,50,50,Random,,,0,2500
293,293,14,100,13,50,50,Random,,,0,2500
294,294,14,100,14,50,50,Random,,,0,2500
295,295,14,100,15,50,50,Random,,,0,2500
296,296,14,100,16,50,50,Random,,,0,2500
297,297,14,100,17,50,50,Random,,,0,2500
298,298,14,100,18,50,50,Random,,,0,2500
299,299,14,100,19,50,50,Random,,,0,2500
300,300,15,100,0,50,50,Random,,,2477,23
301,301,15,100,1,50,50,Random,,,0,2500
302,302,15,100,2,50,50,Random,,,0,2500
303,303,15,100,3,50,50,Random,,,0,2500
304,304,15,100,4,50,50,Random,,,0,2500
305,305,15,100,5,50,50,Random,,,0,2500
306,306,15,100,6,50,50,Random,,,0,2500
307,307,15,100,7,50,50,Random,,,0,2500
308,308,15,100,8,50,50,Random,,,0,2500
309,309,15,100,9,50,50,Random,,,0,2500
310,310,15,100,10,50,50,Random,,,0,2500
311,311,15,100,11,50,50,Random,,,0,2500
312,312,15,100,12,50,50,Random,,,0,2500
313,313,15,100,13,50,50,Random,,,0,2500
314,314,15,100,14,50,50,Random,,,0,2500
315,315,15,100,15,50,50,Random,,,0,2500
316,316,15,100,16,50,50,Random,,,0,2500
317,317,15,100,17,50,50,Random,,,0,2500
318,318,15,100,18,50,50,Random,,,0,2500
319,319,15,100,19,50,50,Random,,,0,2500
320,320,16,100,0,50,50,Random,,,2487,13
321,321,16,100,1,50,50,Random,,,0,2500
322,322,16,100,2,50,50,Random,,,0,2500
323,323,16,100,3,50,50,Random,,,0,2500
324,324,16,100,4,50,50,Random,,,0,2500
325,325,16,100,5,50,50,Random,,,0,2500
326,326,16,100,6,50,50,Random,,,0,2500
327,327,16,100,7,50,50,Random,,,0,2500
328,328,16,100,8,50,50,Random,,,0,2500
329,329,16,100,9,50,50,Random,,,0,2500
330,330,16,100,10,50,50,Random,,,0,2500
331,331,16,100,11,50,50,Random,,,0,2500
332,332,16,100,12,50,50,Random,,,0,2500
333,333,16,100,13,50,50,Random,,,0,2500
334,334,16,100,14,50,50,Random,,,0,2500
335,335,16,100,15,50,50,Random,,,0,2500
336,336,16,100,16,50,50,Random,,,0,2500
337,337,16,100,17,50,50,Random,,,0,2500
338,338,16,100,18,50,50,Random,,,0,2500
339,339,16,100,19,50,50,Random,,,0,2500
340,340,17,100,0,50,50,Random,,,2456,44
341,341,17,100,1,50,50,Random,,,2430,70
342,342,17,100,2,50,50,Random,,,1967,533
343,343,17,100,3,50,50,Random,,,0,2500
344,344,17,100,4,50,50,Random,,,0,2500
345,345,17,100,5,50,50,Random,,,0,2500
346,346,17,100,6,50,50,Random,,,0,2500
347,347,17,100,7,50,50,Random,,,0,2500
348,348,17,100,8,50,50,Random,,,0,2500
349,349,17,100,9,50,50,Random,,,0,2500
350,350,17,100,10,50,50,Random,,,0,2500
351,351,17,100,11,50,50,Random,,,0,2500
352,352,17,100,12,50,50,Random,,,0,2500
353,353,17,100,13,50,50,Random,,,0,2500
354,354,17,100,14,50,50,Random,,,0,2500
355,355,17,100,15,50,50,Random,,,0,2500
356,356,17,100,16,50,50,Random,,,0,2500
357,357,17,100,17,50,50,Random,,,0,2500
358,358,17,100,18,50,50,Random,,,0,2500
359,359,17,100,19,50,50,Random,,,0,2500
360,360,18,100,0,50,50,Random,,,2483,17
361,361,18,100,1,50,50,Random,,,0,2500
362,362,18,100,2,50,50,Random,,,0,2500
363,363,18,100,3,50,50,Random,,,0,2500
364,364,18,100,4,50,50,Random,,,0,2500
365,365,18,100,5,50,50,Random,,,0,2500
366,366,18,100,6,50,50,Random,,,0,2500
367,367,18,100,7,50,50,Random,,,0,2500
368,368,18,100,8,50,50,Random,,,0,2500
369,369,18,100,9,50,50,Random,,,0,2500
370,370,18,100,10,50,50,Random,,,0,2500
371,371,18,100,11,50,50,Random,,,0,2500
372,372,18,100,12,50,50,Random,,,0,2500
373,373,18,100,13,50,50,Random,,,0,2500
374,374,18,100,14,50,50,Random,,,0,2500
375,375,18,100,15,50,50,Random,,,0,2500
376,376,18,100,16,50,50,Random,,,0,2500
377,377,18,100,17,50,50,Random,,,0,2500
378,378,18,100,18,50,50,Random,,,0,2500
379,379,18,100,19,50,50,Random,,,0,2500
380,380,19,100,0,50,50,Random,,,2464,36
381,381,19,100,1,50,50,Random,,,0,2500
382,382,19,100,2,50,50,Random,,,0,2500
383,383,19,100,3,50,50,Random,,,0,2500
384,384,19,100,4,50,50,Random,,,0,2500
385,385,19,100,5,50,50,Random,,,0,2500
386,386,19,100,6,50,50,Random,,,0,2500
387,387,19,100,7,50,50,Random,,,0,2500
388,388,19,100,8,50,50,Random,,,0,2500
389,389,19,100,9,50,50,Random,,,0,2500
390,390,19,100,10,50,50,Random,,,0,2500
391,391,19,100,11,50,50,Random,,,0,2500
392,392,19,100,12,50,50,Random,,,0,2500
393,393,19,100,13,50,50,Random,,,0,2500
394,394,19,100,14,50,50,Random,,,0,2500
395,395,19,100,15,50,50,Random,,,0,2500
396,396,19,100,16,50,50,Random,,,0,2500
397,397,19,100,17,50,50,Random,,,0,2500
398,398,19,100,18,50,50,Random,,,0,2500
399,399,19,100,19,50,50,Random,,,0,2500
400,400,20,100,0,50,50,Random,,,2473,27
401,401,20,100,1,50,50,Random,,,2350,150
