"region","Freq"
"USA","3230"
"CHINA","2412"
"UK","844"
"GERMANY","735"
"ITALY","611"
"FRANCE","502"
"SPAIN","438"
"JAPAN","405"
"BRAZIL","401"
"CANADA","357"
"INDIA","340"
"NETHERLANDS","313"
"AUSTRALIA","309"
"IRAN","305"
"TURKEY","227"
"SOUTH KOREA","221"
"SWITZERLAND","166"
"POLAND","139"
"MEXICO","136"
"RUSSIA","113"
