"Node","Cluster","Betweenness","Closeness","PageRank"
"agents","1","104.244474200028","0.0169491525423729","0.0444128985844834"
"networks","1","22.6677964582292","0.0144927536231884","0.0417897204731496"
"design","1","4.46790140513316","0.0131578947368421","0.0212759510620578"
"consensus","1","6.51814546193558","0.0128205128205128","0.0308092395459626"
"multiagent systems","1","1.01684270023922","0.0119047619047619","0.0192405988318341"
"stability","1","5.30705754818681","0.0131578947368421","0.0191119107074936"
"coordination","1","3.41820150342534","0.0125","0.017566268008639"
"synchronization","1","1.07627025644989","0.0120481927710843","0.0149737897150374"
"algorithms","1","0.201120600609146","0.0116279069767442","0.0107843554374762"
"behavior","2","189.706287470557","0.0181818181818182","0.0855647438032311"
"dynamics","2","94.4260487357296","0.0172413793103448","0.0722614497422906"
"model","2","74.3711438094191","0.0172413793103448","0.0623547814526627"
"simulation","2","99.7322323151704","0.0178571428571429","0.0614883570621949"
"systems","2","43.5096534815645","0.0163934426229508","0.0446579537293623"
"evolution","2","11.3037380307802","0.0140845070422535","0.0303987777177465"
"performance","2","9.71553349553693","0.0149253731343284","0.0251591648345183"
"models","2","2.08969836341695","0.0131578947368421","0.0171475558381877"
"system","2","2.70378481901989","0.0133333333333333","0.0171630097828748"
"diffusion","2","2.00615103411461","0.0128205128205128","0.0190752062787732"
"management","2","2.33000784944813","0.0131578947368421","0.0179036751391945"
"emergence","2","0.972125616738188","0.0125","0.0163239705502154"
"optimization","2","5.30583284898071","0.0136986301369863","0.0170801936092938"
"impact","2","1.71004564494559","0.012987012987013","0.0142598026637534"
"information","2","1.9232155232459","0.0131578947368421","0.0167152605863548"
"cooperation","2","0.224062077739543","0.0116279069767442","0.0145011333133258"
"risk","2","0.672404335267701","0.0120481927710843","0.00974173397831218"
"decision-making","2","0.396091287663216","0.0121951219512195","0.0141453515354329"
"flow","2","5.66670296888724","0.0120481927710843","0.0119656009451219"
"time","2","0.816876689693712","0.0123456790123457","0.0122581975727503"
"agent","2","0.282858802237312","0.0113636363636364","0.0073252630915886"
"framework","2","0.572545505648245","0.0120481927710843","0.0123572770258363"
"patterns","2","1.28997384469874","0.0121951219512195","0.011623520159997"
"network","2","0.468756584104693","0.0119047619047619","0.00881219694827799"
"choice","2","0.102131204953637","0.0111111111111111","0.008715773979229"
"mechanical-properties","2","0.0824399446023804","0.010989010989011","0.00719884120799258"
"in-vitro","3","4.0825982939424","0.0123456790123457","0.0117653023430158"
"growth","3","7.36072107269733","0.012987012987013","0.0153987072967028"
"water","3","7.12166928498899","0.0123456790123457","0.0126745534064807"
"adsorption","3","3.5510985081814","0.0114942528735632","0.0114160325907716"
"mechanism","3","2.07232134943373","0.0120481927710843","0.00977530282747467"
"kinetics","3","0.37325619797606","0.0114942528735632","0.00813156753517978"
"mechanisms","3","4.67750025727719","0.0121951219512195","0.0100315038240181"
"expression","3","2.26618535642125","0.0111111111111111","0.00692237671910173"
"cancer","3","3.67589490168834","0.0114942528735632","0.00964508787848899"
"in-vivo","3","1.92323375222406","0.0106382978723404","0.00748114246344895"
"resistance","3","4.66739314250703","0.0120481927710843","0.00954171375682016"
"temperature","3","0.316402432847058","0.0114942528735632","0.00742764919539036"
"surface","3","1.26572559805663","0.0112359550561798","0.00836275554578827"
"cells","3","1.51341250468892","0.0113636363636364","0.00845915891591343"
"inhibition","3","1.83443492866965","0.0112359550561798","0.00680362078675211"
