"Sources","Articles"
"P NATL ACAD SCI USA","2734"
"NATURE","2513"
"IEEE T AUTOMAT CONTR","2361"
"PHYS REV E","2352"
"SCIENCE","2324"
"PHYSICA A","2009"
"AUTOMATICA","1463"
"PLOS ONE","1388"
"PHYS REV LETT","1349"
"JASSS-J ARTIF SOC S","1172"
"J AM CHEM SOC","998"
"J THEOR BIOL","962"
"J CHEM PHYS","959"
"AM ECON REV","763"
"MACROMOLECULES","755"
"ECOL MODEL","711"
"J PHYS CHEM B","704"
"ECONOMETRICA","660"
"J BIOL CHEM","626"
"DENT MATER","606"
